SaleID,ProductID,CustomerID,SalesAmount,Quantity,Timestamp
1,1020,460,1639.1,18,2024-08-09 20:21:00
2,1029,198,186.11,42,2024-11-28 05:01:00
3,1012,524,1712.72,49,2024-10-13 00:36:00
4,1016,285,1919.83,50,2024-07-06 23:39:00
5,1021,369,66.36,21,2024-06-08 19:58:00
6,1016,709,1705.51,31,2024-11-15 12:24:00
7,1047,929,1509.94,3,2024-08-28 05:43:00
8,1027,19,1635.15,25,2024-08-30 19:07:00
9,1020,983,1070.59,31,2024-10-22 15:17:00
10,1006,536,1097.0,2,2024-06-20 09:59:00
11,1005,164,683.83,38,2024-11-15 09:33:00
12,1017,955,1187.22,26,2024-07-07 00:55:00
13,1046,102,1660.55,37,2024-06-10 20:40:00
14,1039,246,1285.76,12,2024-10-31 22:31:00
15,1044,231,580.56,2,2024-10-30 09:54:00
16,1012,266,1729.19,38,2024-09-22 19:51:00
17,1018,558,1700.77,44,2024-09-28 12:04:00
18,1004,267,1685.47,20,2024-07-29 14:48:00
19,1023,647,960.8,37,2024-08-17 13:20:00
20,1030,99,1220.63,5,2024-08-20 12:26:00
21,1002,152,415.25,29,2024-09-12 16:38:00
22,1027,36,1493.54,42,2024-09-09 02:48:00
23,1027,23,1433.8,15,2024-11-01 03:59:00
24,1043,362,426.93,39,2024-06-17 01:40:00
25,1003,422,1428.43,35,2024-06-19 23:12:00
26,1040,709,312.35,2,2024-11-21 11:15:00
27,1003,743,416.27,4,2024-09-20 12:07:00
28,1029,308,1679.89,38,2024-10-08 19:53:00
29,1041,523,1660.59,5,2024-07-24 20:12:00
30,1023,736,1314.46,6,2024-08-01 05:18:00
31,1025,835,1298.54,12,2024-07-16 11:20:00
32,1005,140,318.78,22,2024-11-15 18:19:00
33,1011,355,407.13,12,2024-07-20 08:41:00
34,1023,408,149.62,38,2024-11-26 06:12:00
35,1011,67,117.33,43,2024-07-28 06:47:00
36,1049,581,566.6,24,2024-06-02 09:56:00
37,1000,10,63.47,39,2024-11-27 03:22:00
38,1026,527,1116.63,3,2024-10-25 16:12:00
39,1030,811,1475.13,26,2024-09-19 09:17:00
40,1006,755,1330.2,33,2024-06-28 11:37:00
41,1015,219,327.25,26,2024-11-17 14:28:00
42,1006,672,1828.59,39,2024-10-28 06:57:00
43,1014,815,1601.49,10,2024-09-17 10:24:00
44,1026,710,1803.84,23,2024-10-29 16:50:00
45,1017,199,454.09,23,2024-07-15 20:25:00
46,1045,750,920.92,24,2024-11-15 15:17:00
47,1027,669,1173.01,49,2024-10-14 18:44:00
48,1022,705,70.83,46,2024-06-12 19:38:00
49,1026,349,438.13,4,2024-07-24 05:39:00
50,1044,519,187.88,12,2024-08-01 21:46:00
51,1028,255,1430.55,10,2024-07-25 23:46:00
52,1011,242,87.0,4,2024-06-21 04:19:00
53,1036,484,1489.15,44,2024-07-09 12:50:00
54,1034,988,1369.19,13,2024-10-26 00:53:00
55,1046,719,547.12,34,2024-08-04 20:34:00
56,1009,300,630.2,38,2024-08-18 15:59:00
57,1017,232,534.62,24,2024-08-12 14:55:00
58,1044,256,184.42,26,2024-07-29 08:45:00
59,1017,735,1107.99,34,2024-11-12 19:34:00
60,1034,292,111.07,11,2024-06-26 10:00:00
61,1009,64,1685.41,50,2024-11-05 10:59:00
62,1040,749,1453.5,8,2024-10-31 07:48:00
63,1015,390,1379.18,21,2024-11-06 17:32:00
64,1017,598,1897.31,14,2024-11-17 22:27:00
65,1049,172,209.86,15,2024-08-24 02:47:00
66,1009,643,1125.76,8,2024-08-08 09:28:00
67,1037,265,74.77,3,2024-09-23 19:12:00
68,1007,482,421.24,10,2024-09-08 22:43:00
69,1033,854,321.19,3,2024-06-21 07:47:00
70,1021,804,178.51,30,2024-11-24 01:54:00
71,1049,490,706.35,35,2024-10-10 18:54:00
72,1026,920,1499.29,26,2024-10-17 17:43:00
73,1008,668,1482.66,7,2024-11-25 02:48:00
74,1036,853,1681.72,46,2024-07-09 14:14:00
75,1009,566,1680.94,17,2024-07-21 18:57:00
76,1027,736,858.03,10,2024-08-21 05:46:00
77,1027,363,1395.9,20,2024-07-28 17:46:00
78,1032,189,999.8,17,2024-06-20 01:06:00
79,1048,267,109.49,25,2024-06-04 09:35:00
80,1015,760,1842.46,2,2024-07-25 11:05:00
81,1005,261,1823.12,39,2024-10-01 12:50:00
82,1044,983,1704.28,48,2024-09-21 22:12:00
83,1018,198,493.34,47,2024-10-02 02:12:00
84,1025,856,1363.31,27,2024-08-03 08:22:00
85,1037,176,856.0,25,2024-11-01 03:16:00
86,1003,400,1893.26,5,2024-08-03 02:48:00
87,1010,261,1819.99,13,2024-11-21 13:06:00
88,1019,134,724.72,17,2024-07-09 15:36:00
89,1046,367,956.12,24,2024-07-31 16:27:00
90,1003,78,614.64,6,2024-06-29 11:22:00
91,1005,735,1185.03,38,2024-11-26 17:54:00
92,1041,958,581.96,29,2024-11-08 17:33:00
93,1005,432,1525.73,30,2024-06-22 07:36:00
94,1016,790,148.59,44,2024-11-15 18:18:00
95,1000,390,190.84,24,2024-06-22 20:14:00
96,1038,816,810.3,9,2024-07-05 02:51:00
97,1047,798,266.81,7,2024-07-20 01:19:00
98,1012,955,1921.64,45,2024-11-16 17:36:00
99,1029,673,810.58,13,2024-10-07 12:46:00
100,1018,225,944.71,43,2024-10-10 02:15:00
101,1026,178,1621.67,12,2024-07-05 02:52:00
102,1031,992,725.72,16,2024-10-25 23:17:00
103,1005,838,170.53,50,2024-07-09 07:57:00
104,1018,197,847.78,1,2024-09-19 04:35:00
105,1001,910,586.63,7,2024-07-31 03:53:00
106,1009,595,1290.08,47,2024-10-20 00:33:00
107,1006,502,1027.42,32,2024-08-01 02:58:00
108,1020,219,1275.15,9,2024-08-09 05:02:00
109,1000,990,91.38,6,2024-09-11 09:57:00
110,1045,60,265.11,39,2024-09-07 08:28:00
111,1009,219,1969.99,8,2024-10-03 05:36:00
112,1031,655,1649.13,17,2024-07-09 18:44:00
113,1024,513,691.78,50,2024-08-05 01:17:00
114,1014,463,1052.68,43,2024-06-03 15:48:00
115,1040,587,1556.93,24,2024-09-06 01:55:00
116,1010,34,1590.88,19,2024-09-27 01:07:00
117,1016,63,778.67,37,2024-09-23 21:05:00
118,1030,660,1850.28,22,2024-11-03 21:25:00
119,1049,538,1669.96,50,2024-11-17 14:32:00
120,1015,172,76.93,46,2024-07-25 03:14:00
121,1003,166,1629.51,28,2024-11-19 12:48:00
122,1010,555,1502.15,1,2024-07-02 17:36:00
123,1042,367,1304.7,9,2024-10-05 18:58:00
124,1014,477,141.84,41,2024-07-03 14:03:00
125,1023,0,620.28,26,2024-09-12 11:51:00
126,1035,38,1813.16,27,2024-10-06 16:41:00
127,1022,547,1263.16,37,2024-08-17 05:16:00
128,1000,423,1456.14,27,2024-10-15 06:28:00
129,1014,840,508.76,32,2024-08-07 09:47:00
130,1023,393,1885.0,43,2024-09-20 10:17:00
131,1008,395,1396.4,40,2024-10-04 23:21:00
132,1001,285,844.56,19,2024-08-05 23:45:00
133,1006,255,1755.93,39,2024-09-14 10:14:00
134,1039,206,1999.04,9,2024-11-17 23:07:00
135,1003,591,711.2,30,2024-06-18 01:09:00
136,1038,338,524.49,24,2024-06-02 12:59:00
137,1021,58,757.79,9,2024-07-16 11:22:00
138,1032,531,1764.41,43,2024-06-21 01:02:00
139,1022,499,1762.96,13,2024-07-23 19:56:00
140,1031,844,1242.79,42,2024-08-27 08:15:00
141,1045,878,887.35,5,2024-08-20 02:18:00
142,1025,749,732.2,5,2024-08-20 18:48:00
143,1025,365,317.1,6,2024-09-13 20:55:00
144,1004,65,791.08,5,2024-09-25 10:14:00
145,1047,854,1576.27,44,2024-06-05 07:21:00
146,1006,283,1360.31,4,2024-10-25 20:57:00
147,1033,763,1328.52,32,2024-08-28 00:38:00
148,1040,583,274.27,49,2024-10-04 07:25:00
149,1002,808,931.07,14,2024-09-22 22:18:00
150,1034,139,1265.97,36,2024-08-22 07:33:00
151,1047,830,730.26,48,2024-06-29 15:31:00
152,1010,310,467.04,38,2024-07-20 13:57:00
